student_id,student_name,student_phone_number,parent_id,parent_name,parent_phone_number,age,year,gpa,hostel_block,past_violations_30d,past_violations_365d,request_time_hour,requested_duration_hours,destination_risk,emergency_flag,group_request,weekend_request,previous_no_show,requests_last_7days,risk_score_continuous,label_violation
8270,Student_25795,1787846414,359178,Parent_86820,5537253172,18,4,7.030525614065048,D,1,1,16,2.98,LOW,0,1,1,0,0,33.08837972667779,1
2899,Student_66886,1199502978,431236,Parent_13890,1279394470,18,4,7.595125784317136,B,0,0,19,1.1,LOW,0,0,1,0,0,22.79798446225847,0
2585,Student_79479,7528642437,864469,Parent_88953,5164334270,18,2,5.321665753176291,D,0,1,22,2.94,HIGH,0,0,1,0,0,26.07399873224771,0
5859,Student_49099,2272485020,937646,Parent_71228,1067157848,23,1,6.823077999694041,D,0,0,7,5.22,MED,0,0,1,0,0,23.15073242041202,0
4104,Student_99135,6691619031,747972,Parent_94651,2644658402,21,3,8.472963533755788,B,0,0,8,4.96,LOW,0,0,0,0,0,14.75041986843799,0
7019,Student_28141,2070701974,827270,Parent_66044,1982680611,21,4,9.122920499341374,D,1,3,10,1.57,LOW,0,1,0,0,0,24.82032898540261,0
6864,Student_19474,3082328893,890180,Parent_23545,6234552479,24,4,6.556943191532738,A,0,0,6,2.75,LOW,0,0,0,0,0,19.32505251603319,0
9164,Student_48623,3724518272,357426,Parent_56717,7575313972,20,2,8.642822814515021,C,0,3,15,6.4,LOW,0,0,0,0,0,14.39622028778476,0
2986,Student_21411,2707558823,171295,Parent_98614,8892904807,17,3,6.716746707663763,C,0,1,15,6.8,LOW,0,0,1,0,1,18.56710842880352,0
8400,Student_52642,8168249959,616349,Parent_58354,3849718370,17,1,6.514618202874312,B,0,1,0,0.07,LOW,0,0,0,0,0,6.869416768321091,0
5555,Student_50818,6434002806,500109,Parent_89909,6983309164,19,2,7.35910144553265,A,0,1,4,1.05,LOW,0,0,1,1,0,36.02434151630406,1
2069,Student_46212,6884786786,787995,Parent_73208,4987097879,21,1,9.618886212229992,D,1,2,17,3.25,HIGH,0,0,1,0,1,38.03757480757355,1
1154,Student_20729,6680312281,297392,Parent_37751,1586784136,19,2,6.122330632042909,C,0,0,23,9.78,LOW,0,0,1,0,1,15.96382367075297,0
7002,Student_65766,5698616641,766326,Parent_62921,4603191957,18,2,7.028068134210566,D,0,1,11,3.9,LOW,0,0,0,0,2,17.37311185343129,0
2693,Student_96672,5631934902,650233,Parent_42217,1347346749,23,3,6.728180922243244,B,1,0,21,5.02,LOW,0,1,1,0,0,38.92396391524618,1
8004,Student_69638,6823858319,955474,Parent_23284,5356786872,21,2,8.19909238185999,D,0,1,9,11.92,MED,0,0,0,0,0,13.99102263902995,0
5611,Student_37663,4724591067,453151,Parent_98223,7757559970,20,1,9.633033374656266,A,0,2,12,0.97,LOW,0,0,0,0,0,0.0839476786253889,0
1417,Student_67458,3130464646,103267,Parent_92745,2496094321,21,3,7.862013911942471,A,1,1,2,18.63,LOW,0,0,0,0,1,16.61695954062464,0
6644,Student_53286,2023216482,514568,Parent_65069,3294919024,22,4,6.97681190641289,C,0,0,8,7.51,LOW,0,0,0,0,0,16.71507878973759,0
8266,Student_99112,4231423971,742612,Parent_70566,9981661804,21,2,9.313666575878909,C,0,2,6,2.22,LOW,0,1,1,0,0,28.12279459084741,0
2365,Student_67854,4235734659,617923,Parent_45909,9187729753,19,3,5.913536381573666,B,0,0,7,0.5,LOW,0,0,0,0,0,10.70909839594899,0
1823,Student_92848,7169015412,476965,Parent_77641,2385927470,21,4,7.724092481810417,A,0,1,14,3.97,LOW,0,0,0,0,0,11.43450139442355,0
2353,Student_20975,7251998155,386103,Parent_76203,2191343111,18,4,6.290877610439014,D,0,0,8,1.2,LOW,0,0,0,0,0,20.46383194862445,0
